date,year,value
Jan 1, 1981,22.956
Feb 1, 1981,76.877
Mar 1, 1981,121.327
Apr 1, 1981,231.746
May 1, 1981,308.955
Jun 1, 1981,207.231
Jul 1, 1981,132.018
Aug 1, 1981,184.242
Sep 1, 1981,183.77
Oct 1, 1981,232.917
Nov 1, 1981,142.58
Dec 1, 1981,102.926
Jan 1, 1982,102.471
Feb 1, 1982,108.543
Mar 1, 1982,149.239
Apr 1, 1982,291.221
May 1, 1982,316.864
Jun 1, 1982,116.643
Jul 1, 1982,97.798
Aug 1, 1982,79.408
Sep 1, 1982,152.555
Oct 1, 1982,278.385
Nov 1, 1982,159.092
Dec 1, 1982,109.127
Jan 1, 1983,30.055
Feb 1, 1983,40.704
Mar 1, 1983,121.873
Apr 1, 1983,247.446
May 1, 1983,195.524
Jun 1, 1983,107.617
Jul 1, 1983,125.938
Aug 1, 1983,124.118
Sep 1, 1983,180.996
Oct 1, 1983,217.397
Nov 1, 1983,165.991
Dec 1, 1983,148.179
Jan 1, 1984,90.613
Feb 1, 1984,82.185
Mar 1, 1984,57.64
Apr 1, 1984,147.136
May 1, 1984,262.065
Jun 1, 1984,231.501
Jul 1, 1984,187.896
Aug 1, 1984,218.68
Sep 1, 1984,250.924
Oct 1, 1984,306.575
Nov 1, 1984,196.748
Dec 1, 1984,66.31
Jan 1, 1985,36.543
Feb 1, 1985,36.942
Mar 1, 1985,103.065
Apr 1, 1985,154.783
May 1, 1985,234.945
Jun 1, 1985,104.398
Jul 1, 1985,144.265
Aug 1, 1985,249.149
Sep 1, 1985,237.749
Oct 1, 1985,235.72
Nov 1, 1985,151.532
Dec 1, 1985,51.633
Jan 1, 1986,67.324
Feb 1, 1986,103.075
Mar 1, 1986,89.695
Apr 1, 1986,261.212
May 1, 1986,183.431
Jun 1, 1986,180.27
Jul 1, 1986,65.451
Aug 1, 1986,122.631
Sep 1, 1986,140.845
Oct 1, 1986,321.432
Nov 1, 1986,125.284
Dec 1, 1986,49.657
Jan 1, 1987,40.137
Feb 1, 1987,63.288
Mar 1, 1987,98.53
Apr 1, 1987,189.241
May 1, 1987,214.923
Jun 1, 1987,89.293
Jul 1, 1987,218.611
Aug 1, 1987,97.183
Sep 1, 1987,276.421
Oct 1, 1987,272.004
Nov 1, 1987,146.664
Dec 1, 1987,77.361
Jan 1, 1988,34.63
Feb 1, 1988,85.276
Mar 1, 1988,41.753
Apr 1, 1988,121.992
May 1, 1988,185.46
Jun 1, 1988,162.55
Jul 1, 1988,145.229
Aug 1, 1988,272.86
Sep 1, 1988,228.775
Oct 1, 1988,265.794
Nov 1, 1988,245.252
Dec 1, 1988,161.535
Jan 1, 1989,86.799
Feb 1, 1989,72.13
Mar 1, 1989,162.846
Apr 1, 1989,138.182
May 1, 1989,241.803
Jun 1, 1989,167.403
Jul 1, 1989,94.404
Aug 1, 1989,182.818
Sep 1, 1989,282.628
Oct 1, 1989,226.973
Nov 1, 1989,110.045
Dec 1, 1989,82.211
Jan 1, 1990,59.344
Feb 1, 1990,84.281
Mar 1, 1990,145.056
Apr 1, 1990,218.864
May 1, 1990,166.165
Jun 1, 1990,147.472
Jul 1, 1990,137.149
Aug 1, 1990,133.299
Sep 1, 1990,210.299
Oct 1, 1990,335.968
Nov 1, 1990,164.746
Dec 1, 1990,66.341
Jan 1, 1991,35.872
Feb 1, 1991,30.966
Mar 1, 1991,155.358
Apr 1, 1991,153.343
May 1, 1991,192.207
Jun 1, 1991,154.879
Jul 1, 1991,126.114
Aug 1, 1991,67.561
