date,year,value
Jan 1, 1981,43.876
Feb 1, 1981,73.777
Mar 1, 1981,147.594
Apr 1, 1981,321.797
May 1, 1981,366.033
Jun 1, 1981,285.408
Jul 1, 1981,164.506
Aug 1, 1981,247.453
Sep 1, 1981,219.831
Oct 1, 1981,383.376
Nov 1, 1981,276.846
Dec 1, 1981,144.232
Jan 1, 1982,180.144
Feb 1, 1982,152.589
Mar 1, 1982,186.255
Apr 1, 1982,367.724
May 1, 1982,333.835
Jun 1, 1982,137.188
Jul 1, 1982,132.749
Aug 1, 1982,72.944
Sep 1, 1982,192.66
Oct 1, 1982,358.348
Nov 1, 1982,198.7
Dec 1, 1982,148.258
Jan 1, 1983,34.636
Feb 1, 1983,44.561
Mar 1, 1983,138.875
Apr 1, 1983,308.783
May 1, 1983,237.062
Jun 1, 1983,129.748
Jul 1, 1983,167.681
Aug 1, 1983,150.644
Sep 1, 1983,180.054
Oct 1, 1983,258.495
Nov 1, 1983,222.637
Dec 1, 1983,210.232
Jan 1, 1984,123.596
Feb 1, 1984,130.651
Mar 1, 1984,111.852
Apr 1, 1984,204.629
May 1, 1984,248.347
Jun 1, 1984,311.649
Jul 1, 1984,223.447
Aug 1, 1984,242.366
Sep 1, 1984,238.459
Oct 1, 1984,378.74
Nov 1, 1984,239.295
Dec 1, 1984,102.531
Jan 1, 1985,51.402
Feb 1, 1985,62.971
Mar 1, 1985,113.26
Apr 1, 1985,195.495
May 1, 1985,234.387
Jun 1, 1985,138.97
Jul 1, 1985,153.695
Aug 1, 1985,274.653
Sep 1, 1985,228.994
Oct 1, 1985,274.101
Nov 1, 1985,195.395
Dec 1, 1985,92.764
Jan 1, 1986,99.865
Feb 1, 1986,115.003
Mar 1, 1986,150.63
Apr 1, 1986,329.137
May 1, 1986,219.536
Jun 1, 1986,219.221
Jul 1, 1986,68.972
Aug 1, 1986,186.26
Sep 1, 1986,178.061
Oct 1, 1986,355.205
Nov 1, 1986,194.373
Dec 1, 1986,84.163
Jan 1, 1987,45.266
Feb 1, 1987,49.685
Mar 1, 1987,139.096
Apr 1, 1987,213.694
May 1, 1987,244.371
Jun 1, 1987,97.721
Jul 1, 1987,249.588
Aug 1, 1987,128.672
Sep 1, 1987,277.82
Oct 1, 1987,336.509
Nov 1, 1987,200.618
Dec 1, 1987,128.201
Jan 1, 1988,55.506
Feb 1, 1988,123.882
Mar 1, 1988,60.273
Apr 1, 1988,192.057
May 1, 1988,221.255
Jun 1, 1988,196.777
Jul 1, 1988,188.697
Aug 1, 1988,339.76
Sep 1, 1988,277.841
Oct 1, 1988,278.5
Nov 1, 1988,348.011
Dec 1, 1988,246.226
Jan 1, 1989,135.312
Feb 1, 1989,84.703
Mar 1, 1989,195.375
Apr 1, 1989,171.254
May 1, 1989,266.452
Jun 1, 1989,244.978
Jul 1, 1989,135.902
Aug 1, 1989,208.724
Sep 1, 1989,307.699
Oct 1, 1989,310.235
Nov 1, 1989,190.125
Dec 1, 1989,128.602
Jan 1, 1990,90.27
Feb 1, 1990,94.079
Mar 1, 1990,160.29
Apr 1, 1990,251.188
May 1, 1990,214.854
Jun 1, 1990,155.601
Jul 1, 1990,180.926
Aug 1, 1990,139.069
Sep 1, 1990,229.954
Oct 1, 1990,388.853
Nov 1, 1990,196.093
Dec 1, 1990,106.803
Jan 1, 1991,65.433
Feb 1, 1991,53.948
Mar 1, 1991,179.643
Apr 1, 1991,217.578
May 1, 1991,212.345
Jun 1, 1991,196
Jul 1, 1991,142.67
Aug 1, 1991,91.276
Sep 1, 1991,172.487
Oct 1, 1991,290.002
Nov 1, 1991,284.057
Dec 1, 1991,107.92
Jan 1, 1992,57.277
Feb 1, 1992,62.716
Mar 1, 1992,68.831
Apr 1, 1992,150.538
May 1, 1992,270.64
Jun 1, 1992,92.792
Jul 1, 1992,116.165
Aug 1, 1992,206.769
Sep 1, 1992,201.726
Oct 1, 1992,200.176
Nov 1, 1992,194.452
Dec 1, 1992,133.427
Jan 1, 1993,169.467
Feb 1, 1993,49.426
Mar 1, 1993,157.206
Apr 1, 1993,278.856
May 1, 1993,296.109
Jun 1, 1993,125.793
Jul 1, 1993,143.874
Aug 1, 1993,211.928
Sep 1, 1993,310.682
Oct 1, 1993,254.623
Nov 1, 1993,245.711
Dec 1, 1993,112.467
Jan 1, 1994,124.263
Feb 1, 1994,92.49
Mar 1, 1994,165.113
Apr 1, 1994,260.697
May 1, 1994,227.444
Jun 1, 1994,139.299
Jul 1, 1994,133.465
Aug 1, 1994,195.863
Sep 1, 1994,184.974
Oct 1, 1994,272.251
Nov 1, 1994,281.745
Dec 1, 1994,107.295
Jan 1, 1995,38.404
Feb 1, 1995,36.737
Mar 1, 1995,168.3
Apr 1, 1995,243.744
May 1, 1995,287.03
Jun 1, 1995,239.819
Jul 1, 1995,257.673
Aug 1, 1995,266.848
Sep 1, 1995,174.35
Oct 1, 1995,315.947
Nov 1, 1995,171.375
Dec 1, 1995,206.136
Jan 1, 1996,134.428
Feb 1, 1996,139.65
