system:time_start,precipitation
"Jan 1, 1990",0
"Jan 2, 1990",0
"Jan 3, 1990",0
"Jan 4, 1990",0
"Jan 5, 1990",6.798
"Jan 6, 1990",4.474
"Jan 7, 1990",4.641
"Jan 8, 1990",2.54
"Jan 9, 1990",1.448
"Jan 10, 1990",0
"Jan 11, 1990",0
"Jan 12, 1990",3.982
"Jan 13, 1990",9.78
"Jan 14, 1990",0
"Jan 15, 1990",4.89
"Jan 16, 1990",0
"Jan 17, 1990",0
"Jan 18, 1990",9.35
"Jan 19, 1990",1.938
"Jan 20, 1990",3.877
"Jan 21, 1990",2.156
"Jan 22, 1990",8.253
"Jan 23, 1990",0
"Jan 24, 1990",0
"Jan 25, 1990",0
"Jan 26, 1990",0
"Jan 27, 1990",6.139
"Jan 28, 1990",0
"Jan 29, 1990",0
"Jan 30, 1990",0
"Jan 31, 1990",0
"Feb 1, 1990",0
"Feb 2, 1990",0
"Feb 3, 1990",9.374
"Feb 4, 1990",0
"Feb 5, 1990",19.392
"Feb 6, 1990",6.748
"Feb 7, 1990",2.249
"Feb 8, 1990",1.819
"Feb 9, 1990",8.567
"Feb 10, 1990",0
"Feb 11, 1990",0
"Feb 12, 1990",0
"Feb 13, 1990",0
"Feb 14, 1990",0
"Feb 15, 1990",0
"Feb 16, 1990",0
"Feb 17, 1990",0
"Feb 18, 1990",0
"Feb 19, 1990",0
"Feb 20, 1990",0
"Feb 21, 1990",0
"Feb 22, 1990",0
"Feb 23, 1990",0.624
"Feb 24, 1990",2.703
"Feb 25, 1990",1.893
"Feb 26, 1990",0
"Feb 27, 1990",0
"Feb 28, 1990",0
"Mar 1, 1990",0
"Mar 2, 1990",0
"Mar 3, 1990",0
"Mar 4, 1990",0
"Mar 5, 1990",12.958
"Mar 6, 1990",1.464
"Mar 7, 1990",4.256
"Mar 8, 1990",4.466
"Mar 9, 1990",0
"Mar 10, 1990",0
"Mar 11, 1990",2.426
"Mar 12, 1990",0
"Mar 13, 1990",0
"Mar 14, 1990",3.104
"Mar 15, 1990",2.773
"Mar 16, 1990",0
"Mar 17, 1990",0
"Mar 18, 1990",5.33
"Mar 19, 1990",7.372
"Mar 20, 1990",6.749
"Mar 21, 1990",8.129
"Mar 22, 1990",0
"Mar 23, 1990",7.113
"Mar 24, 1990",2.032
"Mar 25, 1990",0
"Mar 26, 1990",4.361
"Mar 27, 1990",4.821
"Mar 28, 1990",1.93
"Mar 29, 1990",0
"Mar 30, 1990",1.282
"Mar 31, 1990",1.033
"Apr 1, 1990",11.352
"Apr 2, 1990",3.671
"Apr 3, 1990",3.011
"Apr 4, 1990",0
"Apr 5, 1990",0
"Apr 6, 1990",7.919
"Apr 7, 1990",0
"Apr 8, 1990",0
"Apr 9, 1990",0
"Apr 10, 1990",0
"Apr 11, 1990",0
"Apr 12, 1990",3.678
"Apr 13, 1990",9.86
"Apr 14, 1990",12.235
"Apr 15, 1990",6.309
"Apr 16, 1990",6.272
"Apr 17, 1990",0
"Apr 18, 1990",0
"Apr 19, 1990",0
"Apr 20, 1990",15.09
"Apr 21, 1990",9.102
"Apr 22, 1990",5.875
"Apr 23, 1990",9.679
"Apr 24, 1990",12.328
"Apr 25, 1990",0.577
"Apr 26, 1990",7.142
"Apr 27, 1990",0
"Apr 28, 1990",14.86
"Apr 29, 1990",0
"Apr 30, 1990",5.944
"May 1, 1990",6.429
"May 2, 1990",2.547
"May 3, 1990",1.334
"May 4, 1990",1.646
"May 5, 1990",4.072
"May 6, 1990",6.787
"May 7, 1990",3.393
"May 8, 1990",10.18
"May 9, 1990",3.878
"May 10, 1990",3.878
"May 11, 1990",9.996
"May 12, 1990",0
"May 13, 1990",11.424
"May 14, 1990",9.996
"May 15, 1990",3.332
"May 16, 1990",0
"May 17, 1990",0
"May 18, 1990",0
"May 19, 1990",0
"May 20, 1990",2.513
"May 21, 1990",0
"May 22, 1990",2.615
"May 23, 1990",0.872
"May 24, 1990",0.872
"May 25, 1990",0
"May 26, 1990",0
"May 27, 1990",8.022
"May 28, 1990",5.067
"May 29, 1990",19.302
"May 30, 1990",0
"May 31, 1990",0
"Jun 1, 1990",9.922
"Jun 2, 1990",4.961
"Jun 3, 1990",0
"Jun 4, 1990",0
"Jun 5, 1990",5.67
"Jun 6, 1990",0
"Jun 7, 1990",0
"Jun 8, 1990",4.192
"Jun 9, 1990",10.068
"Jun 10, 1990",10.36
"Jun 11, 1990",12.337
"Jun 12, 1990",0
"Jun 13, 1990",0.776
"Jun 14, 1990",8.636
"Jun 15, 1990",2.159
"Jun 16, 1990",2.701
"Jun 17, 1990",0
"Jun 18, 1990",0
"Jun 19, 1990",0
"Jun 20, 1990",0.709
"Jun 21, 1990",0
"Jun 22, 1990",0
"Jun 23, 1990",2.391
"Jun 24, 1990",3.587
"Jun 25, 1990",1.196
"Jun 26, 1990",1.069
"Jun 27, 1990",1.069
"Jun 28, 1990",1.069
"Jun 29, 1990",1.069
"Jun 30, 1990",1.069
"Jul 1, 1990",4.399
"Jul 2, 1990",4.399
"Jul 3, 1990",4.399
"Jul 4, 1990",4.399
"Jul 5, 1990",4.399
"Jul 6, 1990",0
"Jul 7, 1990",0
"Jul 8, 1990",0
"Jul 9, 1990",4.551
"Jul 10, 1990",21.483
"Jul 11, 1990",0
"Jul 12, 1990",2.233
"Jul 13, 1990",2.035
"Jul 14, 1990",0.452
"Jul 15, 1990",4.465
"Jul 16, 1990",0
"Jul 17, 1990",0
"Jul 18, 1990",1.193
"Jul 19, 1990",28.866
"Jul 20, 1990",0
"Jul 21, 1990",2.693
"Jul 22, 1990",2.693
"Jul 23, 1990",2.693
"Jul 24, 1990",2.693
"Jul 25, 1990",2.693
"Jul 26, 1990",1.421
"Jul 27, 1990",1.421
"Jul 28, 1990",1.421
"Jul 29, 1990",1.421
"Jul 30, 1990",1.421
"Jul 31, 1990",1.421
"Aug 1, 1990",0
"Aug 2, 1990",0
"Aug 3, 1990",1.53
"Aug 4, 1990",5.219
"Aug 5, 1990",1.845
"Aug 6, 1990",0
"Aug 7, 1990",2.235
"Aug 8, 1990",1.753
"Aug 9, 1990",1.753
"Aug 10, 1990",7.282
"Aug 11, 1990",5.644
"Aug 12, 1990",0
"Aug 13, 1990",0
"Aug 14, 1990",6.181
"Aug 15, 1990",3.628
"Aug 16, 1990",4.751
"Aug 17, 1990",5.43
"Aug 18, 1990",6.07
"Aug 19, 1990",9.502
"Aug 20, 1990",5.498
"Aug 21, 1990",0
"Aug 22, 1990",0
"Aug 23, 1990",2.614
"Aug 24, 1990",5.229
"Aug 25, 1990",5.229
"Aug 26, 1990",4.394
"Aug 27, 1990",6.591
"Aug 28, 1990",8.384
"Aug 29, 1990",0
"Aug 30, 1990",6.591
"Aug 31, 1990",4.559
"Sep 1, 1990",12.426
"Sep 2, 1990",2.82
"Sep 3, 1990",0
"Sep 4, 1990",0
"Sep 5, 1990",0
"Sep 6, 1990",2.565
"Sep 7, 1990",0
"Sep 8, 1990",0
"Sep 9, 1990",0
"Sep 10, 1990",21.549
"Sep 11, 1990",0
"Sep 12, 1990",0
"Sep 13, 1990",34.585
"Sep 14, 1990",0
"Sep 15, 1990",0
"Sep 16, 1990",0
"Sep 17, 1990",0
"Sep 18, 1990",3.76
"Sep 19, 1990",3.266
"Sep 20, 1990",3.266
"Sep 21, 1990",5.851
"Sep 22, 1990",1.35
"Sep 23, 1990",0.09
"Sep 24, 1990",27.093
"Sep 25, 1990",0.36
"Sep 26, 1990",0
