date,year,value
Jan 1, 1981,27.317
Feb 1, 1981,69.126
Mar 1, 1981,139.08
Apr 1, 1981,257.493
May 1, 1981,291.009
Jun 1, 1981,221.65
Jul 1, 1981,137.805
Aug 1, 1981,214.287
Sep 1, 1981,169.17
Oct 1, 1981,300.647
Nov 1, 1981,202.457
Dec 1, 1981,112.828
Jan 1, 1982,111.604
Feb 1, 1982,151.275
Mar 1, 1982,174.342
Apr 1, 1982,313.814
May 1, 1982,267.398
Jun 1, 1982,117.218
Jul 1, 1982,91.425
Aug 1, 1982,93.211
Sep 1, 1982,167.17
Oct 1, 1982,301.814
Nov 1, 1982,165.365
Dec 1, 1982,123.214
Jan 1, 1983,38.2
Feb 1, 1983,48.379
Mar 1, 1983,160.261
Apr 1, 1983,244.196
May 1, 1983,173.601
Jun 1, 1983,121.896
Jul 1, 1983,118.141
Aug 1, 1983,138.039
Sep 1, 1983,174.211
Oct 1, 1983,239.752
Nov 1, 1983,168.867
Dec 1, 1983,164.317
Jan 1, 1984,117.656
Feb 1, 1984,95.847
Mar 1, 1984,69.303
Apr 1, 1984,168.973
May 1, 1984,208.192
Jun 1, 1984,249.544
Jul 1, 1984,162.114
Aug 1, 1984,209.336
Sep 1, 1984,248.673
Oct 1, 1984,345.466
Nov 1, 1984,183.97
Dec 1, 1984,74.958
Jan 1, 1985,27.601
Feb 1, 1985,85.293
Mar 1, 1985,119.291
Apr 1, 1985,162.741
May 1, 1985,219.059
Jun 1, 1985,98.599
Jul 1, 1985,141.775
Aug 1, 1985,261.877
Sep 1, 1985,257.584
Oct 1, 1985,254.583
Nov 1, 1985,157.238
Dec 1, 1985,63.459
Jan 1, 1986,83.065
Feb 1, 1986,120.911
Mar 1, 1986,119.001
Apr 1, 1986,248.224
May 1, 1986,172.853
Jun 1, 1986,212.365
Jul 1, 1986,50.15
Aug 1, 1986,144.449
Sep 1, 1986,154.082
Oct 1, 1986,338.284
Nov 1, 1986,160.414
Dec 1, 1986,54.06
Jan 1, 1987,38.268
Feb 1, 1987,79.422
Mar 1, 1987,129.725
Apr 1, 1987,205.821
May 1, 1987,190.28
Jun 1, 1987,85.186
Jul 1, 1987,197.239
Aug 1, 1987,86.068
Sep 1, 1987,258.287
Oct 1, 1987,313.717
Nov 1, 1987,154.218
Dec 1, 1987,119.186
Jan 1, 1988,31.886
Feb 1, 1988,104.572
Mar 1, 1988,57.525
Apr 1, 1988,152.813
May 1, 1988,162.563
Jun 1, 1988,210.367
Jul 1, 1988,152.789
Aug 1, 1988,254.563
Sep 1, 1988,244.583
Oct 1, 1988,290.594
Nov 1, 1988,290.374
Dec 1, 1988,192.768
Jan 1, 1989,105.938
Feb 1, 1989,89.2
Mar 1, 1989,211.347
Apr 1, 1989,142.435
May 1, 1989,218.832
Jun 1, 1989,170.794
Jul 1, 1989,95.367
Aug 1, 1989,203.711
Sep 1, 1989,279.989
Oct 1, 1989,273.548
Nov 1, 1989,129.381
Dec 1, 1989,102.514
Jan 1, 1990,70.674
Feb 1, 1990,104.615
Mar 1, 1990,153.608
Apr 1, 1990,243.173
May 1, 1990,179.779
Jun 1, 1990,152.107
Jul 1, 1990,143.443
Aug 1, 1990,147.492
Sep 1, 1990,197.986
Oct 1, 1990,382.412
Nov 1, 1990,156.013
Dec 1, 1990,92.231
Jan 1, 1991,50.1
Feb 1, 1991,44.164
Mar 1, 1991,211.563
Apr 1, 1991,181.697
May 1, 1991,171.843
Jun 1, 1991,159.403
Jul 1, 1991,113.177
Aug 1, 1991,76.359
Sep 1, 1991,175.375
Oct 1, 1991,271.581
Nov 1, 1991,238.866
Dec 1, 1991,84.162
Jan 1, 1992,53.723
Feb 1, 1992,77.928
Mar 1, 1992,61.44
Apr 1, 1992,129.343
May 1, 1992,196.753
Jun 1, 1992,76.41
Jul 1, 1992,89.484
Aug 1, 1992,157.799
Sep 1, 1992,201.84
Oct 1, 1992,161.611
Nov 1, 1992,154.692
Dec 1, 1992,109.9
Jan 1, 1993,148.695
Feb 1, 1993,48.096
Mar 1, 1993,138.886
Apr 1, 1993,219.012
May 1, 1993,236.127
Jun 1, 1993,87.962
Jul 1, 1993,136.5
Aug 1, 1993,177.946
Sep 1, 1993,249.99
Oct 1, 1993,224.667
Nov 1, 1993,256.4
Dec 1, 1993,94.336
Jan 1, 1994,78.494
Feb 1, 1994,95.703
Mar 1, 1994,160.598
Apr 1, 1994,223.774
May 1, 1994,171.834
Jun 1, 1994,124.147
Jul 1, 1994,119.882
Aug 1, 1994,169.343
Sep 1, 1994,164.754
Oct 1, 1994,298.957
Nov 1, 1994,226.758
Dec 1, 1994,88.736
Jan 1, 1995,24.767
Feb 1, 1995,31.51
Mar 1, 1995,141.737
Apr 1, 1995,199.74
May 1, 1995,224.678
Jun 1, 1995,231.795
Jul 1, 1995,206.406
Aug 1, 1995,256.108
Sep 1, 1995,181.706
Oct 1, 1995,266.566
Nov 1, 1995,155.176
Dec 1, 1995,149.392
Jan 1, 1996,120.741
Feb 1, 1996,112.15
Mar 1, 1996,194.142
Apr 1, 1996,204.177
May 1, 1996,324.685
Jun 1, 1996,188.202
Jul 1, 1996,149.348
Aug 1, 1996,195.257
Sep 1, 1996,144.899
Oct 1, 1996,269.13
Nov 1, 1996,114.301
Dec 1, 1996,92.678
Jan 1, 1997,80.24
Feb 1, 1997,131.805
Mar 1, 1997,132.666
Apr 1, 1997,201.239
May 1, 1997,133.864
Jun 1, 1997,214.788
Jul 1, 1997,58.636
Aug 1, 1997,59.401
Sep 1, 1997,162.397
Oct 1, 1997,181.442
Nov 1, 1997,202.364
Dec 1, 1997,42.773
Jan 1, 1998,28.643
Feb 1, 1998,85.513
Mar 1, 1998,116.091
Apr 1, 1998,197.844
May 1, 1998,300.501
Jun 1, 1998,137.816
Jul 1, 1998,169.457
Aug 1, 1998,183.276
Sep 1, 1998,260.719
Oct 1, 1998,279.516
Nov 1, 1998,237.524
Dec 1, 1998,166.347
Jan 1, 1999,114.754
Feb 1, 1999,256.927
Mar 1, 1999,189.061
Apr 1, 1999,243.864
May 1, 1999,220.219
Jun 1, 1999,274.652
Jul 1, 1999,121.238
Aug 1, 1999,150.789
Sep 1, 1999,312.846
Oct 1, 1999,317.851
Nov 1, 1999,225.971
Dec 1, 1999,194.04
Jan 1, 2000,80.656
Feb 1, 2000,142.758
Mar 1, 2000,145.176
Apr 1, 2000,201.173
May 1, 2000,272.667
Jun 1, 2000,266.314
Jul 1, 2000,199.574
Aug 1, 2000,170.041
Sep 1, 2000,284.459
Oct 1, 2000,254.674
Nov 1, 2000,131.809
Dec 1, 2000,129.353
Jan 1, 2001,85.398
Feb 1, 2001,70.94
Mar 1, 2001,166.667
Apr 1, 2001,126.147
May 1, 2001,162.606
Jun 1, 2001,118.088
Jul 1, 2001,154.774
Aug 1, 2001,40.004
Sep 1, 2001,219.036
Oct 1, 2001,267.33
Nov 1, 2001,174.366
Dec 1, 2001,127.567
Jan 1, 2002,44.922
Feb 1, 2002,66.791
Mar 1, 2002,138.18
Apr 1, 2002,270.201
May 1, 2002,216.794
Jun 1, 2002,143.268
Jul 1, 2002,96.019
Aug 1, 2002,87.062
Sep 1, 2002,151.018
Oct 1, 2002,269.415
Nov 1, 2002,137.767
Dec 1, 2002,127.905
Jan 1, 2003,22.062
Feb 1, 2003,105.676
Mar 1, 2003,129.25
Apr 1, 2003,210.729
May 1, 2003,190.709
Jun 1, 2003,242.215
Jul 1, 2003,100.046
Aug 1, 2003,182.191
Sep 1, 2003,191.23
Oct 1, 2003,289.523
Nov 1, 2003,214.976
Dec 1, 2003,95.939
Jan 1, 2004,111.987
Feb 1, 2004,108.966
Mar 1, 2004,110.149
Apr 1, 2004,226.388
May 1, 2004,258.626
Jun 1, 2004,84.699
Jul 1, 2004,216.204
Aug 1, 2004,136.829
Sep 1, 2004,239.46
Oct 1, 2004,314.631
Nov 1, 2004,232.736
Dec 1, 2004,70.109
Jan 1, 2005,102.367
Feb 1, 2005,42.71
Mar 1, 2005,132.878
Apr 1, 2005,199.39
May 1, 2005,320.391
Jun 1, 2005,188.542
Jul 1, 2005,128.357
Aug 1, 2005,106.901
Sep 1, 2005,166.22
Oct 1, 2005,296.1
Nov 1, 2005,210.483
Dec 1, 2005,109.281
Jan 1, 2006,117.034
Feb 1, 2006,76.38
Mar 1, 2006,212.555
Apr 1, 2006,290.342
May 1, 2006,251.159
Jun 1, 2006,175.876
Jul 1, 2006,102.67
Aug 1, 2006,148.371
Sep 1, 2006,205.86
Oct 1, 2006,259.282
Nov 1, 2006,250.899
Dec 1, 2006,113.767
Jan 1, 2007,53.169
Feb 1, 2007,27.917
Mar 1, 2007,169.437
Apr 1, 2007,257.125
May 1, 2007,302.974
Jun 1, 2007,92.041
Jul 1, 2007,160.977
Aug 1, 2007,232.519
Sep 1, 2007,216.851
Oct 1, 2007,353.325
Nov 1, 2007,154.306
Dec 1, 2007,144.381
Jan 1, 2008,100.72
Feb 1, 2008,182.734
Mar 1, 2008,231.044
Apr 1, 2008,207.187
May 1, 2008,332.304
Jun 1, 2008,251.033
Jul 1, 2008,236.946
Aug 1, 2008,298.55
Sep 1, 2008,236.454
Oct 1, 2008,286.555
Nov 1, 2008,263.066
Dec 1, 2008,67.764
Jan 1, 2009,137.386
Feb 1, 2009,119.493
Mar 1, 2009,209.727
Apr 1, 2009,204.104
May 1, 2009,185.033
Jun 1, 2009,213.327
Jul 1, 2009,90.305
Aug 1, 2009,132.677
Sep 1, 2009,90.298
Oct 1, 2009,265.045
Nov 1, 2009,190.8
Dec 1, 2009,71.14
Jan 1, 2010,36.924
Feb 1, 2010,51.487
Mar 1, 2010,93.104
Apr 1, 2010,239.704
May 1, 2010,238.407
Jun 1, 2010,247.39
Jul 1, 2010,257.312
Aug 1, 2010,218.412
Sep 1, 2010,337.318
Oct 1, 2010,272.963
Nov 1, 2010,340.647
Dec 1, 2010,196.575
Jan 1, 2011,88.466
Feb 1, 2011,169.269
Mar 1, 2011,208.035
Apr 1, 2011,403.908
May 1, 2011,191.971
Jun 1, 2011,236.392
Jul 1, 2011,165.836
Aug 1, 2011,169.569
Sep 1, 2011,199.904
Oct 1, 2011,314.059
Nov 1, 2011,276.851
Dec 1, 2011,190.298
Jan 1, 2012,122.412
Feb 1, 2012,65.102
Mar 1, 2012,160.886
Apr 1, 2012,360.277
May 1, 2012,193.243
Jun 1, 2012,110.65
Jul 1, 2012,107.005
Aug 1, 2012,190.094
Sep 1, 2012,98.864
Oct 1, 2012,282.101
Nov 1, 2012,182.889
Dec 1, 2012,63.564
Jan 1, 2013,33.204
Feb 1, 2013,123.297
Mar 1, 2013,126.554
Apr 1, 2013,143.113
May 1, 2013,240.939
Jun 1, 2013,147.296
Jul 1, 2013,57.412
Aug 1, 2013,200.939
Sep 1, 2013,177.119
Oct 1, 2013,237.933
Nov 1, 2013,210.323
Dec 1, 2013,112.259
Jan 1, 2014,73.364
Feb 1, 2014,93.18
Mar 1, 2014,112.384
Apr 1, 2014,160.954
May 1, 2014,185.357
Jun 1, 2014,100.304
Jul 1, 2014,42.878
Aug 1, 2014,151.447
Sep 1, 2014,146.547
Oct 1, 2014,250.554
Nov 1, 2014,156.635
Dec 1, 2014,96.907
Jan 1, 2015,38.745
Feb 1, 2015,64.213
Mar 1, 2015,97.973
Apr 1, 2015,140.542
May 1, 2015,143.311
Jun 1, 2015,53.111
Jul 1, 2015,87.472
Aug 1, 2015,66.064
Sep 1, 2015,98.674
Oct 1, 2015,220.653
Nov 1, 2015,130.532
Dec 1, 2015,84.289
Jan 1, 2016,55.94
Feb 1, 2016,30.118
Mar 1, 2016,60.368
Apr 1, 2016,178.219
May 1, 2016,156.579
Jun 1, 2016,84.491
Jul 1, 2016,130.821
Aug 1, 2016,254.634
Sep 1, 2016,230.898
Oct 1, 2016,255.536
Nov 1, 2016,197.105
Dec 1, 2016,117.154
