date,year,value
Jan 1, 1981,27.033
Feb 1, 1981,45.79
Mar 1, 1981,117.323
Apr 1, 1981,275.057
May 1, 1981,311.246
Jun 1, 1981,241.052
Jul 1, 1981,153.473
Aug 1, 1981,215.16
Sep 1, 1981,200.915
Oct 1, 1981,314.285
Nov 1, 1981,212.149
Dec 1, 1981,115.337
Jan 1, 1982,107.193
Feb 1, 1982,131.116
Mar 1, 1982,150.628
Apr 1, 1982,297.14
May 1, 1982,316.885
Jun 1, 1982,113.814
Jul 1, 1982,105.842
Aug 1, 1982,88.76
Sep 1, 1982,175.038
Oct 1, 1982,288.079
Nov 1, 1982,162.278
Dec 1, 1982,99.972
Jan 1, 1983,31.822
Feb 1, 1983,47.495
Mar 1, 1983,141.631
Apr 1, 1983,257.976
May 1, 1983,236.662
Jun 1, 1983,131.68
Jul 1, 1983,175.518
Aug 1, 1983,135.098
Sep 1, 1983,213.048
Oct 1, 1983,227.165
Nov 1, 1983,167.155
Dec 1, 1983,159.391
Jan 1, 1984,92.595
Feb 1, 1984,83.095
Mar 1, 1984,72.356
Apr 1, 1984,189.708
May 1, 1984,256.024
Jun 1, 1984,294.212
Jul 1, 1984,190.702
Aug 1, 1984,201.749
Sep 1, 1984,238.763
Oct 1, 1984,307.361
Nov 1, 1984,190.734
Dec 1, 1984,78.12
Jan 1, 1985,28.666
Feb 1, 1985,70.333
Mar 1, 1985,108.446
Apr 1, 1985,163.408
May 1, 1985,259.718
Jun 1, 1985,90.311
Jul 1, 1985,164.058
Aug 1, 1985,269.461
Sep 1, 1985,272.875
Oct 1, 1985,255.351
Nov 1, 1985,183.056
Dec 1, 1985,69.152
Jan 1, 1986,72.27
Feb 1, 1986,95.592
Mar 1, 1986,128.033
Apr 1, 1986,255.051
May 1, 1986,207.388
Jun 1, 1986,243.819
Jul 1, 1986,57.712
Aug 1, 1986,187.905
Sep 1, 1986,167.733
Oct 1, 1986,331.5
Nov 1, 1986,163.621
Dec 1, 1986,67.953
Jan 1, 1987,38.118
Feb 1, 1987,52.027
Mar 1, 1987,115.73
Apr 1, 1987,218.426
